Scenario,Policy,Seed,Time,TxTotal,TxPerNodePerMin,RMSE,RangeResidual_MAE,AngleResidual_MAE
many_moving,icum,1044,0,0,,40.425794479498926,NaN,NaN
many_moving,icum,1044,1,25,150,40.40226325081276,7.412797265813288,1.5458060742033612
many_moving,icum,1044,2,59,177,40.15198119398863,6.46325224437436,1.5751854847552376
many_moving,icum,1044,3,91,181.99999999999997,40.00963725192822,5.389374682887236,1.6111962990978077
many_moving,icum,1044,4,123,184.5,39.9053624644317,4.558786579440268,1.6411490813492333
many_moving,icum,1044,5,156,187.20000000000002,39.8286382855844,3.8618374799546875,1.6398218710181485
many_moving,icum,1044,6,183,183,39.79906014905579,3.1993232744556894,1.711676553808508
many_moving,icum,1044,7,189,161.99999999999997,39.80788624849598,2.82635210944692,1.7210440624182546
many_moving,icum,1044,8,189,141.75,39.82069579352332,2.4841864776462192,1.7400534200796383
many_moving,icum,1044,9,189,126,39.84402856203018,2.353731690058472,1.758911334629251
many_moving,icum,1044,10,189,113.39999999999999,39.88094254270812,2.252363272659205,1.778079170901944
many_moving,icum,1044,11,189,103.0909090909091,39.93279140023652,2.1585167200568933,1.797568607230716
many_moving,icum,1044,12,189,94.49999999999999,39.999873265177534,2.0705752526230703,1.8172598730255325
many_moving,icum,1044,13,189,87.23076923076923,40.08156599124667,2.1400556931199985,1.836984854140884
many_moving,icum,1044,14,189,80.99999999999999,40.17630688283988,2.2543859171217586,1.8565438001063577
many_moving,icum,1044,15,189,75.6,40.28163856983187,2.4807178470602724,1.875714168167273
many_moving,icum,1044,16,189,70.875,40.39442710399616,2.692566629855128,1.894267558194549
many_moving,icum,1044,17,189,66.70588235294117,40.5112375707948,2.8885329757696403,1.9119930076069995
many_moving,icum,1044,18,189,63,40.628761291790155,3.0679613553485887,1.9287188861853903
many_moving,icum,1044,19,189,59.68421052631579,40.74416884610932,3.2309519479435145,1.9443266903756522
many_moving,icum,1044,20,192,57.6,40.855311217920416,3.3782324196893705,1.9587544046376522
many_moving,icum,1044,21,199,56.857142857142854,40.96393857166337,3.517371004020057,1.953543990121457
many_moving,icum,1044,22,199,54.27272727272727,41.09065759372299,3.607175124990166,1.954025651323276
many_moving,icum,1044,23,199,51.91304347826086,41.20039907545602,3.7142509118591724,1.9613079776873181
many_moving,icum,1044,24,199,49.74999999999999,41.29742137768489,3.8156490992719583,1.968279619909852
many_moving,icum,1044,25,199,47.76,41.38449818125013,3.91057087797332,1.9748575784202984
many_moving,icum,1044,26,199,45.92307692307692,41.463552106626274,3.999017057207081,1.9792375200331893
many_moving,icum,1044,27,211,46.88888888888889,41.51216204368205,4.098321196823504,2.037405566382304
many_moving,icum,1044,28,223,47.785714285714285,41.57215107411665,4.11025871369974,2.029585256837758
many_moving,icum,1044,29,234,48.41379310344827,41.61707571299481,4.19794870968495,2.050762412613169
many_moving,icum,1044,30,246,49.2,41.66906872494137,4.225290340349223,2.0702282335408033
many_moving,icum,1044,31,264,51.09677419354838,41.73158079011937,4.260043313167543,2.0610997532192443
many_moving,icum,1044,32,276,51.75,41.769460560961846,4.343027053514367,2.0754406459006267
many_moving,icum,1044,33,276,50.18181818181818,41.797233172098665,4.4158178452287515,2.074058199673242
many_moving,icum,1044,34,276,48.70588235294118,41.82814813811813,4.46848812128234,2.0735607228771435
many_moving,icum,1044,35,279,47.82857142857142,41.86075782565577,4.511917187324568,2.0735955241273767
many_moving,icum,1044,36,286,47.66666666666667,41.894227082527436,4.550723396103082,2.0740368899322266
many_moving,icum,1044,37,286,46.37837837837838,41.91016181153476,4.608684726238308,2.071129962886477
many_moving,icum,1044,38,286,45.15789473684211,41.93083037312573,4.65391597377355,2.069450653604925
many_moving,icum,1044,39,286,44,41.95418952064456,4.697130555749553,2.0678817983512974
many_moving,icum,1044,40,286,42.900000000000006,41.97910415088075,4.737262640434315,2.0665634777024993
many_moving,icum,1044,41,289,42.292682926829265,42.00492477144685,4.774351120746695,2.065528095942864
many_moving,icum,1044,42,294,42,42.02741146546316,4.772329360032026,2.0884274687587516
many_moving,icum,1044,43,298,41.58139534883721,42.0566652446533,4.724490228019084,2.0923882097261184
many_moving,icum,1044,44,303,41.31818181818182,42.091236853103304,4.816389219853975,2.083844622439188
many_moving,icum,1044,45,308,41.06666666666667,42.10928991652526,4.887830772729744,2.064725741412208
many_moving,icum,1044,46,316,41.21739130434783,42.136940202353195,4.941537190678969,2.0669394152272855
many_moving,icum,1044,47,324,41.361702127659576,42.16448234310634,4.961558158011,2.034290919511372
many_moving,icum,1044,48,324,40.49999999999999,42.195408037121574,4.9819945771400835,2.0297680665210716
many_moving,icum,1044,49,324,39.6734693877551,42.22766515821983,5.019792816816234,2.0249738852347585
